Codice Unificato,Descrizione,Bacino,Latitudine,Longitudine,StazioneSiNo,CapoLinea,Diramazione,Chilometrica,Dismessa,Disabilitata_Temporaneamente,Codice_Istat
1,Napoli Porta Nolana,1,40.849223,14.269264,1,1,0,0.000,0,0,63049
3,Napoli P. Garibaldi,1,40.851017,14.272976,1,0,1,0.545,0,0,63049
4,Via Gianturco,1,40.845922,14.287257,0,0,0,1.998,0,0,63049
5,S. Giovanni a Teduccio,1,40.841710,14.300152,1,0,0,3.209,0,0,63049
6,Barra,1,40.844001,14.314253,1,1,1,4.486,0,0,63049
7,Ponticelli,1,40.851023,14.333336,1,0,0,NULL,0,0,63049
8,Cercola,1,40.856301,14.355284,1,0,0,NULL,0,0,63026
9,"Pollena Trocchia ",1,40.859843,14.380188,1,0,0,NULL,0,0,63026
10,Guindazzi,1,40.862238,14.384253,0,0,0,NULL,0,0,63026
11,Madonna dell'Arco,1,40.867387,14.389360,0,0,0,NULL,0,0,63072
12,S. Anastasia,1,40.870059,14.400303,1,0,0,NULL,0,0,63072
13,Villa Augustea,1,40.873319,14.426348,0,0,0,NULL,0,0,63079
14,Somma Vesuviana,1,40.874074,14.438364,1,0,0,NULL,0,0,63079
15,Rione Trieste,1,40.870324,14.461298,0,0,0,NULL,0,0,63079
16,Ottaviano,1,40.852868,14.480637,1,0,0,NULL,0,0,63051
17,S. Leonardo,1,40.842968,14.492379,0,0,0,NULL,0,0,63068
18,S. Giuseppe,1,40.837373,14.501191,1,0,0,NULL,0,0,63068
19,Casilli,1,40.826259,14.500260,0,0,0,NULL,0,0,63068
20,Terzigno,1,40.814159,14.497272,1,0,0,NULL,0,0,63026
21,Flocco,1,40.803537,14.532158,0,0,0,NULL,0,0,63026
22,Poggiomarino,1,40.800957,14.540077,1,0,1,NULL,0,0,63026
23,Striano,1,40.811906,14.577021,1,0,0,NULL,0,0,63026
24,S. Valentino Torio,1,40.797129,14.600155,1,0,0,NULL,0,0,65132
25,Sarno,1,40.812210,14.618466,1,1,0,NULL,0,0,65135
26,S. Maria del Pozzo,1,40.840180,14.327495,0,0,0,5.832,0,0,63049
27,san giorgio a cremano,1,40.832653,14.337712,1,0,1,7.048,0,0,63067
28,S. Giorgio Cavalli di Bronzo,1,40.828805,14.340661,0,1,0,7.546,0,0,63067
29,Portici Bellavista,1,40.822670,14.343180,0,0,0,8.262,0,0,63059
30,Portici Via Liberta',1,40.816813,14.346132,0,0,0,8.956,0,0,63059
31,Ercolano Scavi,1,40.808913,14.354887,1,0,0,10.115,0,0,63064
32,Ercolano Miglio d'Oro,1,40.802102,14.361347,0,0,0,11.048,0,0,63064
33,Torre del Greco,1,40.793105,14.369915,1,0,0,12.277,0,0,63084
34,Via S. Antonio,1,40.784248,14.384107,0,0,0,13.847,0,0,63084
35,Via del Monte,1,40.778211,14.392364,0,0,0,14.804,0,0,63084
36,Via dei Monaci,1,40.775671,14.400219,0,0,0,15.544,0,0,63084
37,Villa delle Ginestre,1,40.772198,14.408390,0,0,0,16.348,0,0,63084
38,Leopardi,1,40.766047,14.417619,1,0,0,17.399,0,0,63084
39,Via Viuli,1,40.763820,14.428266,0,0,0,18.302,0,0,63084
40,Trecase,1,40.761797,14.439600,0,0,0,19.330,0,0,63026
41,Torre Annunziata - Oplonti,1,40.759526,14.451518,1,1,1,20.375,0,0,63083
42,Boscotrecase,1,40.768640,14.461099,1,0,0,NULL,0,0,63009
43,Boscoreale,1,40.770014,14.474444,0,0,0,NULL,0,0,63008
44,Villa Regina,1,40.757212,14.470373,0,0,0,22.165,0,0,63083
45,Pompei Santuario,1,40.751134,14.501608,1,0,0,NULL,0,0,63058
46,Scafati,1,40.753598,14.524419,1,0,0,NULL,0,0,65137
47,S. Pietro,1,40.760632,14.534388,0,0,0,NULL,0,0,65137
48,Via Cangiani,1,40.785275,14.537658,0,0,0,NULL,0,0,63008
49,Pompei Scavi Villa dei Misteri,1,40.748639,14.481274,1,0,0,23.487,0,0,63058
50,Ponte Persica,1,40.730962,14.487809,0,0,0,25.523,1,0,63024
51,Pioppaino,1,40.718855,14.491609,1,0,0,26.902,0,0,63024
52,Via Nocera,1,40.701168,14.491041,0,0,0,28.895,0,0,63024
53,Castellammare di Stabia,1,40.695305,14.483355,1,0,0,29.861,0,0,63024
54,Castellammare Terme,1,40.689785,14.467460,0,0,0,31.381,1,0,63024
55,Pozzano,1,40.685481,14.455268,1,0,0,32.518,0,0,63024
56,Scrajo,1,40.671480,14.436413,0,0,0,34.920,0,1,63086
57,Vico Equense,1,40.662921,14.429970,1,0,0,36.015,0,0,63086
58,Seiano,1,40.655986,14.426703,0,0,0,36.837,0,0,63086
59,Meta,1,40.640169,14.416313,1,0,0,38.769,0,0,63046
60,Piano,1,40.634899,14.410347,1,0,0,39.565,0,0,63053
61,S. Agnello,1,40.631077,14.397931,0,0,0,40.701,0,0,63071
62,Sorrento,1,40.625848,14.379731,1,1,0,42.388,0,0,63080
63,Poggioreale,1,40.866610,14.293470,1,0,0,3.424,0,0,63049
64,Botteghelle,1,40.872280,14.315650,0,0,0,5.382,0,0,63049
66,Casalnuovo,1,40.907802,14.347487,1,0,0,NULL,0,0,63017
67,Talona,1,40.910184,14.365410,0,0,0,NULL,0,0,63017
68,Pratola Ponte,1,40.913532,14.382974,0,0,0,NULL,0,0,63057
69,Pomigliano d'Arco,1,40.914691,14.393016,1,0,1,NULL,0,0,63057
70,Casoria Arpino - Volla,1,40.888150,14.329680,1,0,0,NULL,0,0,63026
71,Castelcisterna,1,40.920471,14.412382,0,0,0,NULL,0,0,63013
72,Brusciano,1,40.917060,14.417700,0,0,0,NULL,0,0,63010
73,Via Vittorio Veneto,1,40.919475,14.442251,1,0,0,NULL,0,0,63043
74,Marigliano,1,40.916935,14.456535,0,0,0,NULL,0,0,63043
75,S. Vitaliano,1,40.918332,14.473345,0,0,0,NULL,0,0,63013
76,Scisciano,1,40.912661,14.480314,1,0,0,NULL,0,0,63013
77,Saviano,1,40.912176,14.509323,1,0,0,NULL,0,0,63076
78,Nola,1,40.929364,14.526792,1,0,0,NULL,0,0,63050
79,Cimitile,1,40.939130,14.530495,1,0,0,NULL,0,0,63013
80,Camposano,1,40.952172,14.531389,0,0,0,NULL,0,0,63013
81,Cicciano,1,40.960562,14.543252,1,0,0,NULL,0,0,63027
82,Roccarainola,1,40.966367,14.560060,1,0,0,NULL,0,0,63013
83,Avella,1,40.955199,14.602343,0,0,0,NULL,0,0,64007
84,Baiano,1,40.952895,14.616973,1,1,0,NULL,0,0,64010
85,Alfa Lancia Varco 2,1,40.925794,14.401174,0,0,0,NULL,0,0,63057
86,Alfa Lancia Varco 4,1,40.930254,14.399977,1,0,0,NULL,0,0,63057
87,La Pigna,1,40.908854,14.355014,0,0,0,NULL,0,0,63017
88,Parco Piemonte,1,40.911238,14.372749,0,0,0,NULL,0,0,63057
89,De Ruggiero,1,40.916265,14.428504,0,0,0,NULL,0,0,63010
90,Napoli Centro Direzionale,1,40.859106,14.281649,0,0,0,2.050,0,0,63049
91,Bartolo Longo,1,40.847296,14.336615,0,0,0,2.127,0,0,63049
92,Vesuvio De Meis (SGV),1,40.852529,14.338971,0,0,0,2.831,0,0,63049
93,Villa Visconti,1,40.855471,14.338429,1,0,0,3.232,0,0,63049
94,Argine Palasport,1,40.862350,14.338290,0,0,0,3.972,0,0,63049
95,Vesuvio De Meis (SA),1,40.851719,14.339459,0,0,0,NULL,0,0,63049
96,Madonnelle,1,40.871179,14.334486,0,0,0,5.037,0,0,63049
97,Salice,1,40.899590,14.337680,0,0,0,NULL,0,0,63017
98,Acerra,1,40.947300,14.382543,1,1,0,NULL,0,0,63001
99,Moregine,1,40.738151,14.485295,0,0,0,24.650,0,0,63058
100,Officina Ponticelli,1,40.847619,14.324637,0,0,0,NULL,0,0,63049
101,Bivio Botteghelle,1,40.876850,14.327960,0,0,0,NULL,1,0,63049
102,Bivio Madonnelle,1,40.876850,14.327960,0,0,0,NULL,1,0,63049
103,Napoli Pascone,1,40.851806,14.280368,0,0,0,NULL,1,0,63049
106,Mugnano,4,40.912996,14.218187,0,0,0,NULL,0,0,63048
107,Pozzuoli,2,40.824780,14.121430,1,0,0,NULL,0,0,63060
108,Melito,4,40.920829,14.217970,0,0,0,NULL,1,0,63045
109,Quarto,2,40.880240,14.136240,1,0,0,NULL,0,0,63049
112,Aversa,4,40.974147,14.213685,1,1,0,NULL,0,0,61005
113,Aversa RFI,3,40.973262,14.218180,0,0,0,NULL,0,0,61005
124,Giugliano,4,40.927877,14.217663,1,0,0,NULL,0,0,63034
161,San Felice a Cancello,3,41.013724,14.478115,1,0,0,NULL,0,0,61075
174,Arpaia Airola S. Agata,3,41.040081,14.554989,1,0,0,NULL,0,0,62005
214,S. Maria a Vico,3,41.028460,14.462703,1,0,0,NULL,0,0,61082
229,Alvignano,3,41.247010,14.338036,1,0,0,NULL,0,0,61003
238,Caiazzo,3,41.179723,14.364157,1,0,0,NULL,0,0,61009
245,Cervinara,3,41.028690,14.616964,1,0,0,NULL,0,0,64025
278,Piana di Monte Verna,3,41.169866,14.328311,1,0,0,NULL,0,0,61009
289,Rotondi Paolisi,3,41.035600,14.593033,0,0,0,NULL,0,0,64080
293,S. Martino V.C. Montes. Pann,3,41.036679,14.653744,1,0,0,NULL,0,0,64083
301,Alife,3,41.323540,14.339274,1,0,0,NULL,0,0,61002
308,Benevento RFI,3,41.141910,14.769617,1,1,0,NULL,0,0,62008
323,Dragoni,3,41.271154,14.313066,1,0,0,NULL,0,0,61033
430,Piedimonte Matese,3,41.351067,14.367954,1,1,0,NULL,0,0,61057
700,Doppio Bivio Cassino,3,40.869937,14.301931,0,0,0,NULL,1,0,63049
701,Napoli Centrale RFI,3,40.852469,14.272186,1,1,0,NULL,0,0,63049
702,Anfiteatro,3,41.086198,14.244978,0,0,0,NULL,0,0,61083
703,S. Angelo in Formis,3,41.120232,14.248423,1,0,0,NULL,0,0,61015
704,Triflisco,3,41.135470,14.258175,0,0,0,NULL,0,0,61007
705,Villa Ortensia,3,41.225961,14.356750,0,0,0,NULL,0,0,61003
706,S. Marco,3,41.265689,14.323144,0,0,0,NULL,0,0,61033
707,Tufara V. Arpaise Ceppaloni,3,41.061514,14.706117,1,0,0,NULL,0,0,62004
708,Benevento R. Liberta',3,41.125041,14.765750,0,0,0,NULL,0,0,62008
709,Benevento P.Corvo,3,41.108638,14.746840,0,0,0,NULL,0,0,62008
710,Benevento Appia,3,41.133178,14.766296,1,0,0,NULL,0,0,62008
711,Piscinola Scampia,4,40.892929,14.239837,1,1,0,NULL,0,0,63049
712,Aversa Ippodromo,4,40.960613,14.210765,0,0,0,NULL,0,0,61005
713,Casalnuovo RFI,3,40.915655,14.352846,0,0,0,NULL,1,0,63017
714,Acerra RFI,3,40.939705,14.372540,0,0,0,NULL,1,0,63001
715,Cancello RFI,3,40.994288,14.419593,1,0,0,NULL,0,0,61075
716,Maddaloni Inferiore RFI,3,41.035973,14.380607,1,0,0,NULL,0,0,61048
717,Caserta RFI,3,41.068809,14.328269,1,0,0,NULL,0,0,61022
718,S. Maria Capua Vetere RFI,3,41.073549,14.254141,1,0,0,NULL,0,0,61083
719,S.Iorio,3,41.126346,14.249579,0,0,0,NULL,1,0,61015
720,Pontelatone,3,41.145241,14.273547,0,0,0,NULL,0,0,61061
801,Montesanto,2,40.847050,14.245330,1,1,1,NULL,0,0,63049
802,Corso V. Emanuele,2,40.836550,14.221060,0,0,0,NULL,0,0,63049
803,Fuorigrotta,2,40.828010,14.201640,1,0,0,NULL,0,0,63049
804,Mostra,2,40.824690,14.193210,0,0,0,NULL,0,0,63049
805,Edenlandia,2,40.820340,14.183540,0,0,0,NULL,0,0,63049
806,Agnano,2,40.817820,14.176540,0,0,0,NULL,0,0,63049
808,Bagnoli,2,40.815180,14.166820,1,0,0,NULL,0,0,63049
809,Accadia posto movimento,2,40.818977,14.148633,0,0,0,NULL,1,0,63049
810,Dazio,2,40.817290,14.160000,0,0,0,NULL,0,0,63049
811,Gerolomini,2,40.820650,14.135300,1,0,0,NULL,0,0,63060
812,Cappuccini,2,40.822240,14.126600,0,0,0,NULL,0,0,63060
814,Cantieri,2,40.832010,14.111670,1,0,0,NULL,0,0,63060
815,Arco felice,2,40.832890,14.101470,0,0,0,NULL,0,0,63060
816,Lucrino,2,40.829240,14.083510,0,0,0,NULL,0,0,63060
817,Baia,2,40.821054,14.071459,0,0,0,NULL,1,0,63006
818,Fusaro,2,40.818650,14.061730,1,0,0,NULL,0,0,63006
819,Torregaveta,2,40.811640,14.045260,1,1,1,NULL,0,0,63006
820,Piave,2,40.842921,14.206531,0,0,0,NULL,0,0,63049
821,Soccavo,2,40.843910,14.200910,1,0,0,NULL,0,0,63049
822,Rione Traiano,2,40.845140,14.194110,0,0,0,NULL,0,0,63049
823,La Trencia,2,40.854170,14.171650,0,0,0,NULL,0,0,63049
824,Pianura,2,40.856010,14.162810,1,0,0,NULL,0,0,63049
825,Pisani,2,40.865230,14.143520,0,0,0,NULL,0,0,63049
827,Quarto Centro,2,40.880050,14.145190,0,0,0,NULL,0,0,63049
828,Quarto Officina,2,40.879100,14.125640,0,0,0,NULL,0,0,63049
829,Grotta del Sole,2,40.878510,14.094680,0,0,0,NULL,0,0,63060
830,Licola,2,40.871480,14.058850,1,0,0,NULL,0,0,63060
831,Marina di Licola,2,40.862920,14.048060,0,0,0,NULL,1,0,63060
832,Lido Fusaro,2,40.828590,14.049780,0,0,0,NULL,1,0,63006
833,Cuma,2,40.848840,14.048860,0,0,1,NULL,1,0,63049
1001,Capodichino,5,40.880053,14.283139,0,1,0,NULL,1,0,63049
1002,Garibaldi Banchine,1,NULL,NULL,1,0,0,NULL,1,0,63049
1003,Montesanto,2,40.847050,NULL,0,0,0,NULL,1,0,63049
1004,Garibaldi Biglietteria,1,NULL,NULL,0,0,0,NULL,1,0,63049
